
2025/03/17 (23:01:29) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/17 (23:01:49) | WARNING: Failed to join _runner thread on exit!

2025/03/17 (23:13:19) | ===> btop++ v.1.4.0
2025/03/17 (23:13:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/17 (23:13:19) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/17 (23:13:23) | WARNING: Failed to join _runner thread on exit!

2025/03/17 (23:23:12) | ===> btop++ v.1.4.0
2025/03/17 (23:23:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/17 (23:23:12) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/17 (23:23:13) | WARNING: Failed to join _runner thread on exit!

2025/03/17 (23:23:19) | ===> btop++ v.1.4.0
2025/03/17 (23:23:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/17 (23:23:19) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/17 (23:23:21) | WARNING: Failed to join _runner thread on exit!

2025/03/17 (23:23:22) | ===> btop++ v.1.4.0
2025/03/17 (23:23:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/17 (23:23:22) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/17 (23:23:22) | WARNING: Failed to join _runner thread on exit!

2025/03/17 (23:23:31) | ===> btop++ v.1.4.0
2025/03/17 (23:23:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/17 (23:23:31) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/17 (23:23:32) | WARNING: Failed to join _runner thread on exit!

2025/03/17 (23:23:33) | ===> btop++ v.1.4.0
2025/03/17 (23:23:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/17 (23:23:33) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/17 (23:23:35) | WARNING: Failed to join _runner thread on exit!

2025/03/17 (23:23:41) | ===> btop++ v.1.4.0
2025/03/17 (23:23:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/17 (23:23:41) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/17 (23:23:42) | WARNING: Failed to join _runner thread on exit!

2025/03/17 (23:23:46) | ===> btop++ v.1.4.0
2025/03/17 (23:23:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/17 (23:23:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/17 (23:23:49) | ===> btop++ v.1.4.0
2025/03/17 (23:23:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/17 (23:23:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/17 (23:23:54) | ===> btop++ v.1.4.0
2025/03/17 (23:23:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/17 (23:23:54) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/17 (23:23:55) | WARNING: Failed to join _runner thread on exit!

2025/03/17 (23:24:43) | ===> btop++ v.1.4.0
2025/03/17 (23:24:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/17 (23:24:43) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/17 (23:24:48) | WARNING: Failed to join _runner thread on exit!

2025/03/17 (23:25:15) | ===> btop++ v.1.4.0
2025/03/17 (23:25:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/17 (23:25:15) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/17 (23:25:16) | WARNING: Failed to join _runner thread on exit!

2025/03/17 (23:26:39) | ===> btop++ v.1.4.0
2025/03/17 (23:26:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/17 (23:26:39) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/17 (23:26:39) | WARNING: Failed to join _runner thread on exit!

2025/03/17 (23:27:01) | ===> btop++ v.1.4.0
2025/03/17 (23:27:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/17 (23:27:01) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/17 (23:27:02) | WARNING: Failed to join _runner thread on exit!

2025/03/17 (23:28:39) | ===> btop++ v.1.4.0
2025/03/17 (23:28:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/17 (23:28:39) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/17 (23:28:40) | WARNING: Failed to join _runner thread on exit!

2025/03/17 (23:28:52) | ===> btop++ v.1.4.0
2025/03/17 (23:28:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/17 (23:28:52) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/17 (23:28:52) | WARNING: Failed to join _runner thread on exit!

2025/03/17 (23:38:50) | ===> btop++ v.1.4.0
2025/03/17 (23:38:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/17 (23:38:50) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/17 (23:38:51) | WARNING: Failed to join _runner thread on exit!

2025/03/17 (23:38:52) | ===> btop++ v.1.4.0
2025/03/17 (23:38:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/17 (23:38:52) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/17 (23:38:52) | WARNING: Failed to join _runner thread on exit!

2025/03/17 (23:38:54) | ===> btop++ v.1.4.0
2025/03/17 (23:38:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/17 (23:38:54) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/17 (23:38:56) | WARNING: Failed to join _runner thread on exit!

2025/03/17 (23:39:00) | ===> btop++ v.1.4.0
2025/03/17 (23:39:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/17 (23:39:00) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/17 (23:39:01) | WARNING: Failed to join _runner thread on exit!

2025/03/17 (23:39:04) | ===> btop++ v.1.4.0
2025/03/17 (23:39:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/17 (23:39:04) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/17 (23:39:04) | WARNING: Failed to join _runner thread on exit!

2025/03/17 (23:39:20) | ===> btop++ v.1.4.0
2025/03/17 (23:39:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/17 (23:39:20) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/17 (23:39:21) | WARNING: Failed to join _runner thread on exit!

2025/03/17 (23:39:24) | ===> btop++ v.1.4.0
2025/03/17 (23:39:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/17 (23:39:24) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/17 (23:39:25) | WARNING: Failed to join _runner thread on exit!

2025/03/17 (23:39:27) | ===> btop++ v.1.4.0
2025/03/17 (23:39:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/17 (23:39:27) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/17 (23:39:28) | WARNING: Failed to join _runner thread on exit!

2025/03/17 (23:39:32) | ===> btop++ v.1.4.0
2025/03/17 (23:39:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/17 (23:39:32) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/17 (23:39:33) | WARNING: Failed to join _runner thread on exit!

2025/03/17 (23:39:43) | ===> btop++ v.1.4.0
2025/03/17 (23:39:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/17 (23:39:43) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/17 (23:40:03) | WARNING: Failed to join _runner thread on exit!

2025/03/17 (23:43:38) | ===> btop++ v.1.4.0
2025/03/17 (23:43:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/17 (23:43:38) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/17 (23:43:39) | WARNING: Failed to join _runner thread on exit!

2025/03/17 (23:46:03) | ===> btop++ v.1.4.0
2025/03/17 (23:46:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/17 (23:46:03) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/17 (23:46:03) | WARNING: Failed to join _runner thread on exit!

2025/03/18 (09:18:15) | ===> btop++ v.1.4.0
2025/03/18 (09:18:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/18 (09:18:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/18 (09:18:23) | ===> btop++ v.1.4.0
2025/03/18 (09:18:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/18 (09:18:23) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/18 (09:18:23) | WARNING: Failed to join _runner thread on exit!

2025/03/18 (09:19:54) | ===> btop++ v.1.4.0
2025/03/18 (09:19:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/18 (09:19:54) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/18 (09:19:56) | WARNING: Failed to join _runner thread on exit!

2025/04/14 (04:26:21) | ===> btop++ v.1.4.0
2025/04/14 (04:26:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/04/14 (04:26:21) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/14 (04:26:31) | WARNING: Failed to join _runner thread on exit!
